i x t
1 5.2200001e-01 -1.2264950e-02
2 5.2200001e-01 -1.1837995e-02
3 5.2200001e-01 -1.1066503e-02
4 5.2200001e-01 -1.1744757e-02
5 5.2200001e-01 -1.1446957e-02
6 5.2200001e-01 -1.0421607e-02
7 5.2200001e-01 -1.1184846e-02
8 5.2200001e-01 -1.1663881e-02
9 5.2200001e-01 -1.0546844e-02
10 5.2200001e-01 -9.9108359e-03
11 5.2200001e-01 -1.2341524e-02
12 5.2200001e-01 -1.2798288e-02
13 5.2200001e-01 -1.1069081e-02
14 5.2200001e-01 -1.1717665e-02
15 5.2200001e-01 -1.0700105e-02
16 5.2200001e-01 -1.1811931e-02
17 5.2200001e-01 -1.1559785e-02
18 5.2200001e-01 -1.0559648e-02
19 5.2200001e-01 -1.2108953e-02
20 5.2200001e-01 -1.2086980e-02
1 5.2300000e-01 1.2792117e-02
2 5.2300000e-01 1.1030962e-02
3 5.2300000e-01 1.1788651e-02
4 5.2300000e-01 1.1598540e-02
5 5.2300000e-01 1.2644291e-02
6 5.2300000e-01 1.2356762e-02
7 5.2300000e-01 1.0520661e-02
8 5.2300000e-01 1.1923939e-02
9 5.2300000e-01 1.1269378e-02
10 5.2300000e-01 1.2840030e-02
11 5.2300000e-01 1.0000675e-02
12 5.2300000e-01 1.2788967e-02
13 5.2300000e-01 1.0653695e-02
14 5.2300000e-01 1.0272207e-02
15 5.2300000e-01 1.3302471e-02
16 5.2300000e-01 1.2071422e-02
17 5.2300000e-01 1.2526389e-02
18 5.2300000e-01 1.1794092e-02
19 5.2300000e-01 1.2044344e-02
20 5.2300000e-01 1.2103288e-02
1 5.2399999e-01 3.5385396e-02
2 5.2399999e-01 3.4719560e-02
3 5.2399999e-01 3.5360448e-02
4 5.2399999e-01 3.5141017e-02
5 5.2399999e-01 3.5038620e-02
6 5.2399999e-01 3.5602238e-02
7 5.2399999e-01 3.5180792e-02
8 5.2399999e-01 3.5237513e-02
9 5.2399999e-01 3.5323471e-02
10 5.2399999e-01 3.4613904e-02
11 5.2399999e-01 3.5408054e-02
12 5.2399999e-01 3.6916204e-02
13 5.2399999e-01 3.6049977e-02
14 5.2399999e-01 3.4927670e-02
15 5.2399999e-01 3.5498276e-02
16 5.2399999e-01 3.4431737e-02
17 5.2399999e-01 3.5276864e-02
18 5.2399999e-01 3.5669670e-02
19 5.2399999e-01 3.5573628e-02
20 5.2399999e-01 3.5209332e-02
1 5.2499998e-01 5.7894841e-02
2 5.2499998e-01 5.9340384e-02
3 5.2499998e-01 5.8792669e-02
4 5.2499998e-01 5.9023865e-02
5 5.2499998e-01 5.7640925e-02
6 5.2499998e-01 5.7581894e-02
7 5.2499998e-01 5.7380274e-02
8 5.2499998e-01 5.7470851e-02
9 5.2499998e-01 5.8372509e-02
10 5.2499998e-01 5.8415193e-02
11 5.2499998e-01 5.7811119e-02
12 5.2499998e-01 5.7804976e-02
13 5.2499998e-01 5.9289183e-02
14 5.2499998e-01 5.8403343e-02
15 5.2499998e-01 5.8510426e-02
16 5.2499998e-01 5.7917196e-02
17 5.2499998e-01 5.8821239e-02
18 5.2499998e-01 5.9512910e-02
19 5.2499998e-01 5.6717668e-02
20 5.2499998e-01 5.8670670e-02
1 5.2600002e-01 8.3006144e-02
2 5.2600002e-01 8.3700612e-02
3 5.2600002e-01 8.0841944e-02
4 5.2600002e-01 8.1774779e-02
5 5.2600002e-01 8.2019962e-02
6 5.2600002e-01 8.2504161e-02
7 5.2600002e-01 8.2188450e-02
8 5.2600002e-01 8.4185392e-02
9 5.2600002e-01 8.2285680e-02
10 5.2600002e-01 8.0068119e-02
11 5.2600002e-01 8.1144817e-02
12 5.2600002e-01 8.2034931e-02
13 5.2600002e-01 8.1782341e-02
14 5.2600002e-01 8.3452694e-02
15 5.2600002e-01 8.0142647e-02
16 5.2600002e-01 8.0843344e-02
17 5.2600002e-01 8.2064688e-02
18 5.2600002e-01 8.1875071e-02
19 5.2600002e-01 8.2473189e-02
20 5.2600002e-01 8.1435338e-02
1 5.2700001e-01 1.0516963e-01
2 5.2700001e-01 1.0567614e-01
3 5.2700001e-01 1.0665745e-01
4 5.2700001e-01 1.0594182e-01
5 5.2700001e-01 1.0573249e-01
6 5.2700001e-01 1.0616609e-01
7 5.2700001e-01 1.0643501e-01
8 5.2700001e-01 1.0501297e-01
9 5.2700001e-01 1.0620467e-01
10 5.2700001e-01 1.0353835e-01
11 5.2700001e-01 1.0444483e-01
12 5.2700001e-01 1.0539636e-01
13 5.2700001e-01 1.0885689e-01
14 5.2700001e-01 1.0383494e-01
15 5.2700001e-01 1.0718516e-01
16 5.2700001e-01 1.0454063e-01
17 5.2700001e-01 1.0512584e-01
18 5.2700001e-01 1.0492692e-01
19 5.2700001e-01 1.0493655e-01
20 5.2700001e-01 1.0608008e-01
1 5.2800000e-01 1.2850194e-01
2 5.2800000e-01 1.2953386e-01
3 5.2800000e-01 1.2907179e-01
4 5.2800000e-01 1.2841450e-01
5 5.2800000e-01 1.2869669e-01
6 5.2800000e-01 1.2708850e-01
7 5.2800000e-01 1.2924272e-01
8 5.2800000e-01 1.2926796e-01
9 5.2800000e-01 1.3060375e-01
10 5.2800000e-01 1.2861061e-01
11 5.2800000e-01 1.3038766e-01
12 5.2800000e-01 1.2996101e-01
13 5.2800000e-01 1.2917812e-01
14 5.2800000e-01 1.2794311e-01
15 5.2800000e-01 1.2825425e-01
16 5.2800000e-01 1.2835941e-01
17 5.2800000e-01 1.3066912e-01
18 5.2800000e-01 1.3031647e-01
19 5.2800000e-01 1.2941305e-01
20 5.2800000e-01 1.2968464e-01
1 5.2899998e-01 1.5126535e-01
2 5.2899998e-01 1.5192793e-01
3 5.2899998e-01 1.5311861e-01
4 5.2899998e-01 1.5115452e-01
5 5.2899998e-01 1.5336469e-01
6 5.2899998e-01 1.5256147e-01
7 5.2899998e-01 1.5174158e-01
8 5.2899998e-01 1.5341552e-01
9 5.2899998e-01 1.5207499e-01
10 5.2899998e-01 1.5190849e-01
11 5.2899998e-01 1.5168200e-01
12 5.2899998e-01 1.5309587e-01
13 5.2899998e-01 1.5278415e-01
14 5.2899998e-01 1.5180548e-01
15 5.2899998e-01 1.5117690e-01
16 5.2899998e-01 1.5198717e-01
17 5.2899998e-01 1.5262063e-01
18 5.2899998e-01 1.5206991e-01
19 5.2899998e-01 1.5366538e-01
20 5.2899998e-01 1.5336804e-01
1 5.2999997e-01 1.7500965e-01
2 5.2999997e-01 1.7675528e-01
3 5.2999997e-01 1.7573664e-01
4 5.2999997e-01 1.7548651e-01
5 5.2999997e-01 1.7508146e-01
6 5.2999997e-01 1.7565125e-01
7 5.2999997e-01 1.7563486e-01
8 5.2999997e-01 1.7483307e-01
9 5.2999997e-01 1.7532407e-01
10 5.2999997e-01 1.7555849e-01
11 5.2999997e-01 1.7765608e-01
12 5.2999997e-01 1.7647998e-01
13 5.2999997e-01 1.7443614e-01
14 5.2999997e-01 1.7531192e-01
15 5.2999997e-01 1.7487274e-01
16 5.2999997e-01 1.7598039e-01
17 5.2999997e-01 1.7492384e-01
18 5.2999997e-01 1.7588158e-01
19 5.2999997e-01 1.7550367e-01
20 5.2999997e-01 1.7418642e-01
1 5.3100002e-01 1.9975214e-01
2 5.3100002e-01 1.9778486e-01
3 5.3100002e-01 1.9909789e-01
4 5.3100002e-01 1.9845736e-01
5 5.3100002e-01 1.9958943e-01
6 5.3100002e-01 1.9880040e-01
7 5.3100002e-01 1.9983341e-01
8 5.3100002e-01 1.9917203e-01
9 5.3100002e-01 1.9821616e-01
10 5.3100002e-01 1.9781552e-01
11 5.3100002e-01 1.9764353e-01
12 5.3100002e-01 1.9838521e-01
13 5.3100002e-01 1.9971843e-01
14 5.3100002e-01 1.9882514e-01
15 5.3100002e-01 1.9783375e-01
16 5.3100002e-01 2.0043285e-01
17 5.3100002e-01 1.9880873e-01
18 5.3100002e-01 1.9822390e-01
19 5.3100002e-01 1.9774780e-01
20 5.3100002e-01 1.9887623e-01
1 5.3200001e-01 2.2254534e-01
2 5.3200001e-01 2.2209807e-01
3 5.3200001e-01 2.2274709e-01
4 5.3200001e-01 2.2092871e-01
5 5.3200001e-01 2.2259709e-01
6 5.3200001e-01 2.2169162e-01
7 5.3200001e-01 2.2201489e-01
8 5.3200001e-01 2.2228253e-01
9 5.3200001e-01 2.2125101e-01
10 5.3200001e-01 2.2207287e-01
11 5.3200001e-01 2.2346024e-01
12 5.3200001e-01 2.2179571e-01
13 5.3200001e-01 2.2175655e-01
14 5.3200001e-01 2.2172868e-01
15 5.3200001e-01 2.2226639e-01
16 5.3200001e-01 2.2235544e-01
17 5.3200001e-01 2.2250180e-01
18 5.3200001e-01 2.2262061e-01
19 5.3200001e-01 2.2057271e-01
20 5.3200001e-01 2.2043449e-01
1 5.3299999e-01 2.4388692e-01
2 5.3299999e-01 2.4560058e-01
3 5.3299999e-01 2.4504347e-01
4 5.3299999e-01 2.4555814e-01
5 5.3299999e-01 2.4416836e-01
6 5.3299999e-01 2.4473888e-01
7 5.3299999e-01 2.4532892e-01
8 5.3299999e-01 2.4439958e-01
9 5.3299999e-01 2.4606478e-01
10 5.3299999e-01 2.4641666e-01
11 5.3299999e-01 2.4271458e-01
12 5.3299999e-01 2.4467026e-01
13 5.3299999e-01 2.4452166e-01
14 5.3299999e-01 2.4402319e-01
15 5.3299999e-01 2.4540932e-01
